time,local_time,electricity
1/1/2015 00:00,1/1/2015 00:00,0
1/1/2015 01:00,1/1/2015 01:00,0
1/1/2015 02:00,1/1/2015 02:00,0
1/1/2015 03:00,1/1/2015 03:00,0
1/1/2015 04:00,1/1/2015 04:00,0
1/1/2015 05:00,1/1/2015 05:00,0
1/1/2015 06:00,1/1/2015 06:00,0
1/1/2015 07:00,1/1/2015 07:00,0
1/1/2015 08:00,1/1/2015 08:00,0
1/1/2015 09:00,1/1/2015 09:00,0.006
1/1/2015 10:00,1/1/2015 10:00,0.025
1/1/2015 11:00,1/1/2015 11:00,0.053
1/1/2015 12:00,1/1/2015 12:00,0.04
1/1/2015 13:00,1/1/2015 13:00,0.019
1/1/2015 14:00,1/1/2015 14:00,0.009
1/1/2015 15:00,1/1/2015 15:00,0.002
1/1/2015 16:00,1/1/2015 16:00,0
1/1/2015 17:00,1/1/2015 17:00,0
1/1/2015 18:00,1/1/2015 18:00,0
1/1/2015 19:00,1/1/2015 19:00,0
1/1/2015 20:00,1/1/2015 20:00,0
1/1/2015 21:00,1/1/2015 21:00,0
1/1/2015 22:00,1/1/2015 22:00,0
1/1/2015 23:00,1/1/2015 23:00,0
2/1/2015 00:00,2/1/2015 00:00,0
2/1/2015 01:00,2/1/2015 01:00,0
2/1/2015 02:00,2/1/2015 02:00,0
2/1/2015 03:00,2/1/2015 03:00,0
2/1/2015 04:00,2/1/2015 04:00,0
2/1/2015 05:00,2/1/2015 05:00,0
2/1/2015 06:00,2/1/2015 06:00,0
2/1/2015 07:00,2/1/2015 07:00,0
2/1/2015 08:00,2/1/2015 08:00,0.004
2/1/2015 09:00,2/1/2015 09:00,0.074
2/1/2015 10:00,2/1/2015 10:00,0.33
2/1/2015 11:00,2/1/2015 11:00,0.428
2/1/2015 12:00,2/1/2015 12:00,0.448
2/1/2015 13:00,2/1/2015 13:00,0.398
2/1/2015 14:00,2/1/2015 14:00,0.247
2/1/2015 15:00,2/1/2015 15:00,0.058
2/1/2015 16:00,2/1/2015 16:00,0
2/1/2015 17:00,2/1/2015 17:00,0
2/1/2015 18:00,2/1/2015 18:00,0
2/1/2015 19:00,2/1/2015 19:00,0
2/1/2015 20:00,2/1/2015 20:00,0
2/1/2015 21:00,2/1/2015 21:00,0
2/1/2015 22:00,2/1/2015 22:00,0
2/1/2015 23:00,2/1/2015 23:00,0
3/1/2015 00:00,3/1/2015 00:00,0
3/1/2015 01:00,3/1/2015 01:00,0
3/1/2015 02:00,3/1/2015 02:00,0
3/1/2015 03:00,3/1/2015 03:00,0
3/1/2015 04:00,3/1/2015 04:00,0
3/1/2015 05:00,3/1/2015 05:00,0
3/1/2015 06:00,3/1/2015 06:00,0
3/1/2015 07:00,3/1/2015 07:00,0
3/1/2015 08:00,3/1/2015 08:00,0
3/1/2015 09:00,3/1/2015 09:00,0.004
3/1/2015 10:00,3/1/2015 10:00,0.022
3/1/2015 11:00,3/1/2015 11:00,0.015
3/1/2015 12:00,3/1/2015 12:00,0.021
3/1/2015 13:00,3/1/2015 13:00,0.016
3/1/2015 14:00,3/1/2015 14:00,0.006
3/1/2015 15:00,3/1/2015 15:00,0
3/1/2015 16:00,3/1/2015 16:00,0
3/1/2015 17:00,3/1/2015 17:00,0
3/1/2015 18:00,3/1/2015 18:00,0
3/1/2015 19:00,3/1/2015 19:00,0
3/1/2015 20:00,3/1/2015 20:00,0
3/1/2015 21:00,3/1/2015 21:00,0
3/1/2015 22:00,3/1/2015 22:00,0
3/1/2015 23:00,3/1/2015 23:00,0
4/1/2015 00:00,4/1/2015 00:00,0
4/1/2015 01:00,4/1/2015 01:00,0
