time,local_time,electricity,wind_speed
1/1/2015 00:00,1/1/2015 00:00,0.289,6.591
1/1/2015 01:00,1/1/2015 01:00,0.302,6.698
1/1/2015 02:00,1/1/2015 02:00,0.323,6.858
1/1/2015 03:00,1/1/2015 03:00,0.294,6.63
1/1/2015 04:00,1/1/2015 04:00,0.239,6.16
1/1/2015 05:00,1/1/2015 05:00,0.304,6.707
1/1/2015 06:00,1/1/2015 06:00,0.362,7.154
1/1/2015 07:00,1/1/2015 07:00,0.363,7.164
1/1/2015 08:00,1/1/2015 08:00,0.441,7.738
1/1/2015 09:00,1/1/2015 09:00,0.441,7.741
1/1/2015 10:00,1/1/2015 10:00,0.475,7.987
1/1/2015 11:00,1/1/2015 11:00,0.502,8.193
1/1/2015 12:00,1/1/2015 12:00,0.539,8.46
1/1/2015 13:00,1/1/2015 13:00,0.581,8.771
1/1/2015 14:00,1/1/2015 14:00,0.605,8.959
1/1/2015 15:00,1/1/2015 15:00,0.638,9.218
1/1/2015 16:00,1/1/2015 16:00,0.674,9.516
1/1/2015 17:00,1/1/2015 17:00,0.709,9.826
1/1/2015 18:00,1/1/2015 18:00,0.727,10
1/1/2015 19:00,1/1/2015 19:00,0.737,10.093
1/1/2015 20:00,1/1/2015 20:00,0.741,10.127
1/1/2015 21:00,1/1/2015 21:00,0.743,10.145
1/1/2015 22:00,1/1/2015 22:00,0.743,10.146
1/1/2015 23:00,1/1/2015 23:00,0.733,10.055
2/1/2015 00:00,2/1/2015 00:00,0.708,9.817
2/1/2015 01:00,2/1/2015 01:00,0.667,9.456
2/1/2015 02:00,2/1/2015 02:00,0.6,8.914
2/1/2015 03:00,2/1/2015 03:00,0.538,8.441
2/1/2015 04:00,2/1/2015 04:00,0.479,8.013
2/1/2015 05:00,2/1/2015 05:00,0.412,7.529
2/1/2015 06:00,2/1/2015 06:00,0.38,7.297
2/1/2015 07:00,2/1/2015 07:00,0.332,6.929
2/1/2015 08:00,2/1/2015 08:00,0.296,6.648
2/1/2015 09:00,2/1/2015 09:00,0.278,6.499
2/1/2015 10:00,2/1/2015 10:00,0.264,6.374
2/1/2015 11:00,2/1/2015 11:00,0.286,6.57
2/1/2015 12:00,2/1/2015 12:00,0.334,6.951
2/1/2015 13:00,2/1/2015 13:00,0.339,6.982
2/1/2015 14:00,2/1/2015 14:00,0.32,6.831
2/1/2015 15:00,2/1/2015 15:00,0.233,6.109
2/1/2015 16:00,2/1/2015 16:00,0.154,5.317
2/1/2015 17:00,2/1/2015 17:00,0.125,4.987
2/1/2015 18:00,2/1/2015 18:00,0.113,4.823
2/1/2015 19:00,2/1/2015 19:00,0.1,4.648
2/1/2015 20:00,2/1/2015 20:00,0.103,4.7
2/1/2015 21:00,2/1/2015 21:00,0.11,4.784
2/1/2015 22:00,2/1/2015 22:00,0.098,4.621
2/1/2015 23:00,2/1/2015 23:00,0.093,4.545
