time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature
1/1/2015 00:00,1/1/2015 00:00,0,0,0,5.715
1/1/2015 01:00,1/1/2015 01:00,0,0,0,5.681
1/1/2015 02:00,1/1/2015 02:00,0,0,0,5.919
1/1/2015 03:00,1/1/2015 03:00,0,0,0,6.341
1/1/2015 04:00,1/1/2015 04:00,0,0,0,6.679
1/1/2015 05:00,1/1/2015 05:00,0,0,0,6.864
1/1/2015 06:00,1/1/2015 06:00,0,0,0,6.946
1/1/2015 07:00,1/1/2015 07:00,0,0,0,7.24
1/1/2015 08:00,1/1/2015 08:00,0,0,0.002,7.597
1/1/2015 09:00,1/1/2015 09:00,0.01,0.002,0.02,7.982
1/1/2015 10:00,1/1/2015 10:00,0.028,0.003,0.04,8.46
1/1/2015 11:00,1/1/2015 11:00,0.03,0.003,0.042,8.912
1/1/2015 12:00,1/1/2015 12:00,0.026,0.002,0.038,9.204
1/1/2015 13:00,1/1/2015 13:00,0.02,0.002,0.032,9.403
1/1/2015 14:00,1/1/2015 14:00,0.02,0.003,0.031,9.626
1/1/2015 15:00,1/1/2015 15:00,0.002,0.002,0.008,9.731
1/1/2015 16:00,1/1/2015 16:00,0,0,0,9.796
1/1/2015 17:00,1/1/2015 17:00,0,0,0,9.883
1/1/2015 18:00,1/1/2015 18:00,0,0,0,10.017
1/1/2015 19:00,1/1/2015 19:00,0,0,0,10.169
1/1/2015 20:00,1/1/2015 20:00,0,0,0,10.304
1/1/2015 21:00,1/1/2015 21:00,0,0,0,10.496
1/1/2015 22:00,1/1/2015 22:00,0,0,0,10.777
1/1/2015 23:00,1/1/2015 23:00,0,0,0,11.013
2/1/2015 00:00,2/1/2015 00:00,0,0,0,11.049
2/1/2015 01:00,2/1/2015 01:00,0,0,0,10.301
2/1/2015 02:00,2/1/2015 02:00,0,0,0,8.542
2/1/2015 03:00,2/1/2015 03:00,0,0,0,7.12
2/1/2015 04:00,2/1/2015 04:00,0,0,0,6.327
2/1/2015 05:00,2/1/2015 05:00,0,0,0,5.561
2/1/2015 06:00,2/1/2015 06:00,0,0,0,4.876
2/1/2015 07:00,2/1/2015 07:00,0,0,0,4.314
2/1/2015 08:00,2/1/2015 08:00,0.017,0.02,0.009,3.968
2/1/2015 09:00,2/1/2015 09:00,0.188,0.165,0.045,4.471
2/1/2015 10:00,2/1/2015 10:00,0.338,0.312,0.061,5.41
2/1/2015 11:00,2/1/2015 11:00,0.429,0.414,0.065,6.253
2/1/2015 12:00,2/1/2015 12:00,0.445,0.435,0.063,6.577
2/1/2015 13:00,2/1/2015 13:00,0.387,0.372,0.059,6.395
2/1/2015 14:00,2/1/2015 14:00,0.244,0.222,0.048,5.774
2/1/2015 15:00,2/1/2015 15:00,0.053,0.053,0.017,4.247
2/1/2015 16:00,2/1/2015 16:00,0,0,0,2.577
2/1/2015 17:00,2/1/2015 17:00,0,0,0,2.236
2/1/2015 18:00,2/1/2015 18:00,0,0,0,2.305
2/1/2015 19:00,2/1/2015 19:00,0,0,0,1.507
2/1/2015 20:00,2/1/2015 20:00,0,0,0,1.033
2/1/2015 21:00,2/1/2015 21:00,0,0,0,1.798
2/1/2015 22:00,2/1/2015 22:00,0,0,0,2.106
2/1/2015 23:00,2/1/2015 23:00,0,0,0,2.15
3/1/2015 00:00,3/1/2015 00:00,0,0,0,2.244
3/1/2015 01:00,3/1/2015 01:00,0,0,0,2.358
3/1/2015 02:00,3/1/2015 02:00,0,0,0,2.453
3/1/2015 03:00,3/1/2015 03:00,0,0,0,2.396
3/1/2015 04:00,3/1/2015 04:00,0,0,0,2.408
3/1/2015 05:00,3/1/2015 05:00,0,0,0,2.415
3/1/2015 06:00,3/1/2015 06:00,0,0,0,2.174
3/1/2015 07:00,3/1/2015 07:00,0,0,0,1.913
3/1/2015 08:00,3/1/2015 08:00,0,0.001,0.004,1.546
3/1/2015 09:00,3/1/2015 09:00,0.014,0.002,0.023,1.502
3/1/2015 10:00,3/1/2015 10:00,0.024,0.003,0.035,1.558
3/1/2015 11:00,3/1/2015 11:00,0.033,0.003,0.044,1.805
3/1/2015 12:00,3/1/2015 12:00,0.027,0.002,0.039,1.8
3/1/2015 13:00,3/1/2015 13:00,0.017,0.001,0.028,1.615
3/1/2015 14:00,3/1/2015 14:00,0.025,0.004,0.034,1.623
3/1/2015 15:00,3/1/2015 15:00,0.014,0.009,0.017,1.164
3/1/2015 16:00,3/1/2015 16:00,0,0,0,0.288
3/1/2015 17:00,3/1/2015 17:00,0,0,0,0.306
3/1/2015 18:00,3/1/2015 18:00,0,0,0,0.329
3/1/2015 19:00,3/1/2015 19:00,0,0,0,0.236
3/1/2015 20:00,3/1/2015 20:00,0,0,0,0.237
3/1/2015 21:00,3/1/2015 21:00,0,0,0,-0.018
3/1/2015 22:00,3/1/2015 22:00,0,0,0,-0.207
3/1/2015 23:00,3/1/2015 23:00,0,0,0,-0.453
4/1/2015 00:00,4/1/2015 00:00,0,0,0,-0.7
4/1/2015 01:00,4/1/2015 01:00,0,0,0,-0.889
4/1/2015 02:00,4/1/2015 02:00,0,0,0,-0.903
4/1/2015 03:00,4/1/2015 03:00,0,0,0,-1.067
4/1/2015 04:00,4/1/2015 04:00,0,0,0,-1.077
4/1/2015 05:00,4/1/2015 05:00,0,0,0,-1.071
4/1/2015 06:00,4/1/2015 06:00,0,0,0,-1.128
4/1/2015 07:00,4/1/2015 07:00,0,0,0,-1.281
4/1/2015 08:00,4/1/2015 08:00,0.007,0.008,0.009,-1.131
4/1/2015 09:00,4/1/2015 09:00,0.07,0.039,0.047,-0.269
4/1/2015 10:00,4/1/2015 10:00,0.194,0.131,0.081,0.482
4/1/2015 11:00,4/1/2015 11:00,0.392,0.344,0.081,1.291
4/1/2015 12:00,4/1/2015 12:00,0.443,0.411,0.073,1.848
4/1/2015 13:00,4/1/2015 13:00,0.364,0.325,0.07,2.07
4/1/2015 14:00,4/1/2015 14:00,0.202,0.165,0.057,1.685
4/1/2015 15:00,4/1/2015 15:00,0.025,0.021,0.018,0.067
4/1/2015 16:00,4/1/2015 16:00,0,0,0,-0.161
4/1/2015 17:00,4/1/2015 17:00,0,0,0,0.581
4/1/2015 18:00,4/1/2015 18:00,0,0,0,0.806
4/1/2015 19:00,4/1/2015 19:00,0,0,0,0.932
4/1/2015 20:00,4/1/2015 20:00,0,0,0,1.118
4/1/2015 21:00,4/1/2015 21:00,0,0,0,1.359
4/1/2015 22:00,4/1/2015 22:00,0,0,0,1.603
4/1/2015 23:00,4/1/2015 23:00,0,0,0,1.852
5/1/2015 00:00,5/1/2015 00:00,0,0,0,2.307
5/1/2015 01:00,5/1/2015 01:00,0,0,0,2.595
5/1/2015 02:00,5/1/2015 02:00,0,0,0,2.831
5/1/2015 03:00,5/1/2015 03:00,0,0,0,3.184
5/1/2015 04:00,5/1/2015 04:00,0,0,0,3.429
5/1/2015 05:00,5/1/2015 05:00,0,0,0,3.572
5/1/2015 06:00,5/1/2015 06:00,0,0,0,3.785
5/1/2015 07:00,5/1/2015 07:00,0,0,0,4.047
5/1/2015 08:00,5/1/2015 08:00,0,0,0.003,4.404
5/1/2015 09:00,5/1/2015 09:00,0.01,0.001,0.02,4.918
5/1/2015 10:00,5/1/2015 10:00,0.026,0.003,0.038,5.449
5/1/2015 11:00,5/1/2015 11:00,0.04,0.004,0.052,5.982
5/1/2015 12:00,5/1/2015 12:00,0.045,0.005,0.057,6.524
5/1/2015 13:00,5/1/2015 13:00,0.034,0.004,0.046,6.83
5/1/2015 14:00,5/1/2015 14:00,0.016,0.002,0.026,6.85
5/1/2015 15:00,5/1/2015 15:00,0.001,0.001,0.006,6.648
5/1/2015 16:00,5/1/2015 16:00,0,0,0,6.332
5/1/2015 17:00,5/1/2015 17:00,0,0,0,6.125
5/1/2015 18:00,5/1/2015 18:00,0,0,0,5.971
5/1/2015 19:00,5/1/2015 19:00,0,0,0,5.868
5/1/2015 20:00,5/1/2015 20:00,0,0,0,5.818
5/1/2015 21:00,5/1/2015 21:00,0,0,0,5.817
5/1/2015 22:00,5/1/2015 22:00,0,0,0,5.903
5/1/2015 23:00,5/1/2015 23:00,0,0,0,6.002
6/1/2015 00:00,6/1/2015 00:00,0,0,0,6.04
6/1/2015 01:00,6/1/2015 01:00,0,0,0,6.085
6/1/2015 02:00,6/1/2015 02:00,0,0,0,6.163
6/1/2015 03:00,6/1/2015 03:00,0,0,0,6.346
6/1/2015 04:00,6/1/2015 04:00,0,0,0,6.462
6/1/2015 05:00,6/1/2015 05:00,0,0,0,6.719
6/1/2015 06:00,6/1/2015 06:00,0,0,0,6.947
6/1/2015 07:00,6/1/2015 07:00,0,0,0,7.024
6/1/2015 08:00,6/1/2015 08:00,0.002,0.002,0.007,7.097
6/1/2015 09:00,6/1/2015 09:00,0.027,0.008,0.034,7.424
6/1/2015 10:00,6/1/2015 10:00,0.058,0.014,0.062,7.407
6/1/2015 11:00,6/1/2015 11:00,0.082,0.021,0.08,6.576
6/1/2015 12:00,6/1/2015 12:00,0.136,0.057,0.101,5.898
6/1/2015 13:00,6/1/2015 13:00,0.203,0.132,0.095,5.685
6/1/2015 14:00,6/1/2015 14:00,0.123,0.079,0.065,5.32
6/1/2015 15:00,6/1/2015 15:00,0.023,0.018,0.019,4.25
6/1/2015 16:00,6/1/2015 16:00,0,0,0,2.69
6/1/2015 17:00,6/1/2015 17:00,0,0,0,1.541
6/1/2015 18:00,6/1/2015 18:00,0,0,0,0.925
6/1/2015 19:00,6/1/2015 19:00,0,0,0,0.903
6/1/2015 20:00,6/1/2015 20:00,0,0,0,1.101
6/1/2015 21:00,6/1/2015 21:00,0,0,0,1.546
6/1/2015 22:00,6/1/2015 22:00,0,0,0,1.819
6/1/2015 23:00,6/1/2015 23:00,0,0,0,1.611
7/1/2015 00:00,7/1/2015 00:00,0,0,0,1.898
7/1/2015 01:00,7/1/2015 01:00,0,0,0,2.054
7/1/2015 02:00,7/1/2015 02:00,0,0,0,2.124
7/1/2015 03:00,7/1/2015 03:00,0,0,0,2.568
