Name,iL3,hL3,lL3
SRAE_2000529400,4.93,0.99,0.39
SRAE_2000529300,0.83,7.09,34.45
SRAE_2000529200,24.93,43.42,23.96
SRAE_2000529100,34.58,22.04,48.04
SRAE_2000529000,17.20,39.88,62.14
SRAE_2000528900,18.68,13.27,14.09
SRAE_2000528800,18.85,105.97,172.45
SRAE_2000528700,27.07,158.06,179.05
SRAE_2000528600,20.20,37.76,48.86
SRAE_2000528500,10.55,3.68,7.01
SRAE_2000528400,2.79,13.18,17.23
SRAE_2000528300,8.97,6.80,15.75
SRAE_2000528200,1.01,20.74,14.49
SRAE_2000528100,3.91,1.44,0.48
SRAE_2000528000,11.75,1038.49,293.31
SRAE_2000527900,90.65,770.96,459.67
SRAE_2000527800,324.90,3927.75,2111.58
SRAE_2000527700,8.37,11.75,21.26
SRAE_2000527600,1.48,0.71,3.74
SRAE_2000527500,5.79,0.18,0.00
SRAE_2000527400,5.13,0.71,0.63
SRAE_2000527300,0.14,1.87,6.56
SRAE_2000527200,2.82,26.54,37.28
SRAE_2000527100,2.73,22.66,28.42
SRAE_2000527000,5.12,11.46,5.52
SRAE_2000526900,13.56,7.81,8.17
SRAE_2000526800,116.28,252.61,234.38
SRAE_2000526700,6.25,211.73,457.27
SRAE_2000526600,7.37,2.70,15.16
SRAE_2000526500,14.72,0.24,0.00
SRAE_2000526400,34.83,2548.85,1263.94
SRAE_2000526300,1.35,2781.72,4122.96
SRAE_2000526200,1.60,4.35,3.30
SRAE_2000526100,1.10,0.73,0.85
SRAE_2000526000,6.30,19.28,34.79
SRAE_2000525900,13.30,1.35,2.37
SRAE_2000525800,12.75,27.10,50.86
SRAE_2000525700,14.88,29.71,56.85
SRAE_2000525600,8.73,107.66,197.48
SRAE_2000525500,5.77,114.74,166.04
SRAE_2000525400,5.07,31.79,92.74
SRAE_2000525300,7.41,20.62,42.32
SRAE_2000525200,16.37,5.40,4.74
SRAE_2000525100,13.01,126.15,232.16
SRAE_2000525000,9.09,1.84,6.48
SRAE_2000524900,10.85,335.15,878.96
SRAE_2000524800,7.90,5.01,10.19
SRAE_2000524710,8.41,63.98,80.20
SRAE_2000524610,9.62,23.11,57.69
SRAE_2000524500,10.06,41.61,48.18
SRAE_2000524400,6.69,19.10,42.21
SRAE_2000524300,13.49,60.82,70.67
SRAE_2000524200,0.29,1.27,0.89
SRAE_2000524100,1.17,2.31,8.88
SRAE_2000524000,1.19,1.83,2.29
SRAE_2000523900,1.27,63.98,157.06
SRAE_2000523800,0.68,50.04,92.97
SRAE_2000523700,1.38,33.08,71.86
SRAE_2000523600,3.16,330.16,157.31
SRAE_2000523500,2.48,4.36,11.48
SRAE_2000523400,74.60,184.03,250.72
SRAE_2000523300,3.38,0.00,2.61
SRAE_2000523200,3.19,9.11,12.30
SRAE_2000523100,35.04,18.69,27.25
SRAE_2000523000,4.48,218.81,367.30
SRAE_2000522900,1.77,14.10,20.05
SRAE_2000522800,2.05,157.96,478.03
SRAE_2000522700,2.21,359.02,773.32
SRAE_2000522600,6.30,33.21,149.19
SRAE_2000522550,3.07,0.31,3.29
SRAE_2000522500,13.15,3.37,13.53
SRAE_2000522450,1.54,16.29,0.00
SRAE_2000522400,0.00,8.57,15.94
SRAE_2000522300,2.78,6.11,14.04
SRAE_2000522200,17.30,3.62,7.81
SRAE_2000522100,67.19,42.00,100.13
SRAE_2000522000,4.53,34.07,49.06
SRAE_2000521900,12.90,4.59,6.59
SRAE_2000521800,5.51,16.91,26.40
SRAE_2000521700,17.44,226.07,208.47
SRAE_2000521600,10.79,55.49,54.51
SRAE_2000521500,38.33,115.64,141.28
SRAE_2000521400,53.20,49.80,47.22
SRAE_2000521300,9.50,6.60,12.79
SRAE_2000521200,10.63,16.12,35.80
SRAE_2000521100,7.58,10.54,11.48
SRAE_2000521000,55.70,498.19,896.10
SRAE_2000520900,60.59,74.98,142.21
SRAE_2000520800,11.64,34.22,75.49
SRAE_2000520750,3.67,3.81,17.01
SRAE_2000520700,4.52,0.00,0.00
SRAE_2000520600,6.59,3.95,5.55
SRAE_2000520500,18.80,28.13,51.99
SRAE_2000520400,2.19,0.34,10.76
SRAE_2000520300,612.03,0.32,1.90
SRAE_2000520200,10.32,11.24,10.74
SRAE_2000520100,18.34,11.16,13.61
SRAE_2000520000,7.01,2.70,2.71
SRAE_2000519900,4.64,1.77,11.46
SRAE_2000519800,39.11,17.37,36.40
SRAE_2000519700,22.73,6.35,11.15
SRAE_2000519600,9.06,3.09,5.56
SRAE_2000519500,49.04,43.94,72.76
SRAE_2000519450,63.39,203.15,382.70
SRAE_2000519400,9.95,14.50,38.20
SRAE_2000519300,34.12,134.56,377.50
SRAE_2000519200,43.74,166.14,180.16
SRAE_2000519100,46.60,83.40,59.84
SRAE_2000519000,39.90,152.44,206.07
SRAE_2000518900,14.69,55.37,45.83
SRAE_2000518800,8.54,140.99,170.35
SRAE_2000518700,41.18,57.40,49.89
SRAE_2000518600,24.32,1.04,2.75
SRAE_2000518500,9.03,0.00,4.92
SRAE_2000518400,42.80,12.41,22.67
SRAE_2000518300,2.41,0.00,1.59
SRAE_2000518200,10.48,25.86,41.01
SRAE_2000518100,156.67,51.54,116.79
SRAE_2000518000,34.64,0.45,1.57
SRAE_2000517900,87.09,27.46,39.41
SRAE_2000517800,34.67,30.25,57.03
SRAE_2000517700,42.57,169.85,161.51
SRAE_2000517600,62.68,34.69,94.74
SRAE_2000517500,11.74,16.37,32.62
SRAE_2000517400,11.49,0.00,1.63
SRAE_2000517300,8.72,10.21,5.77
SRAE_2000517200,11.40,29.45,67.98
SRAE_2000517100,4.34,35.69,48.86
SRAE_2000517000,12.79,46.61,61.04
SRAE_2000516900,45.76,9.06,7.96
SRAE_2000516800,249.08,78.51,106.62
SRAE_2000516750,4.46,0.00,0.00
SRAE_2000516700,12.37,23.02,46.32
SRAE_2000516600,6.67,26.02,25.53
SRAE_2000516500,3.15,4.71,5.59
SRAE_2000516400,35.14,75.51,154.42
SRAE_2000516300,19.45,73.62,116.97
SRAE_2000516200,17.40,57.19,90.21
SRAE_2000516100,1.16,7.68,6.93
SRAE_2000516000,64.15,251.98,504.24
SRAE_2000515900,0.00,0.90,0.00
SRAE_2000515850,9.86,19.84,36.96
SRAE_2000515800,50.95,197.86,384.20
SRAE_2000515700,0.48,0.32,0.00
SRAE_2000515600,0.81,44.92,138.15
SRAE_2000515500,0.81,314.06,689.13
SRAE_2000515400,17.76,89.70,136.22
SRAE_2000515300,11.98,51.59,71.18
SRAE_2000515200,13.04,13.36,18.11
SRAE_2000515100,21.19,12.73,10.69
SRAE_2000515000,11.07,14.60,17.83
SRAE_2000514900,0.48,19.68,26.75
SRAE_2000514800,20.38,28.41,40.99
SRAE_2000514700,269.26,566.37,806.36
SRAE_2000514600,35.67,39.59,64.24
SRAE_2000514500,9.71,0.30,1.60
SRAE_2000514400,21.59,1.12,6.56
SRAE_2000514300,3.25,22.33,32.13
SRAE_2000514200,13.49,68.68,128.12
SRAE_2000514100,64.82,633.46,1245.94
SRAE_2000514000,3.69,16.00,13.53
SRAE_2000513900,11.06,1.46,5.12
SRAE_2000513800,22.29,25.33,36.69
SRAE_2000513700,16.90,15.19,26.42
SRAE_2000513600,23.16,34.10,55.18
SRAE_2000513500,29.83,6.68,4.69
SRAE_2000513400,358.87,36.45,53.42
SRAE_2000513300,106.86,84.32,87.79
SRAE_2000513200,252.76,325.98,456.97
SRAE_2000513100,27.30,44.35,76.32
SRAE_2000513000,5.35,6.59,8.26
SRAE_2000512900,36.58,39.48,32.07
SRAE_2000512800,95.48,86.03,282.86
SRAE_2000512700,2.86,3.64,6.94
SRAE_2000512600,130.88,51.84,84.96
SRAE_2000512500,24.78,3.48,6.58
SRAE_2000512400,9.30,0.00,0.89
SRAE_2000512300,8.07,0.30,3.11
SRAE_2000512200,1.45,196.05,366.65
SRAE_2000512100,6.54,4.01,7.68
SRAE_2000512000,3.80,10.20,7.81
SRAE_2000511900,12.21,51.58,102.71
SRAE_2000511800,8.77,110.43,283.92
SRAE_2000511700,0.92,2.96,3.67
SRAE_2000511600,4.78,6.43,14.90
SRAE_2000511500,1.02,1.83,0.43
SRAE_2000511400,4.61,1.42,5.00
SRAE_2000511300,38.28,4.06,15.28
SRAE_2000511200,33.54,10.16,12.57
SRAE_2000511100,35.95,11.85,25.68
SRAE_2000511000,32.52,79.67,111.67
SRAE_2000510900,59.74,157.14,200.86
SRAE_2000510800,43.79,96.75,125.75
SRAE_2000510700,3.69,16.24,19.79
SRAE_2000510600,5.10,57.65,82.94
SRAE_2000510500,18.53,27.22,50.13
SRAE_2000510400,13.66,22.38,37.63
SRAE_2000510300,15.97,15.21,23.88
SRAE_2000510200,103.84,122.98,223.65
SRAE_2000510100,112.28,256.08,427.52
SRAE_2000510000,23.93,22.02,71.06
SRAE_2000509900,3.13,0.00,2.34
SRAE_2000509800,2.75,0.34,0.61
SRAE_2000509700,145.68,2.42,2.32
SRAE_2000509600,96.23,0.00,38.49
SRAE_2000509500,2.88,36.75,29.70
SRAE_2000509400,9.01,47.64,88.78
SRAE_2000509300,4.59,4.71,19.48
SRAE_2000509200,9.35,26.83,30.32
SRAE_2000509100,14.21,60.56,68.85
SRAE_2000509000,11.63,12.38,17.60
SRAE_2000508900,9.04,7.57,4.62
SRAE_2000508800,23.44,40.58,82.06
SRAE_2000508700,9.67,45.96,93.44
SRAE_2000508600,9.71,9.01,11.76
SRAE_2000508500,2.21,126.67,282.53
SRAE_2000508400,682.89,1091.16,746.89
SRAE_2000508300,14.39,21.21,32.67
SRAE_2000508200,10.87,9.79,15.43
SRAE_2000508100,4.86,13.89,118.20
SRAE_2000508000,1136.21,1781.80,1193.54
SRAE_2000507900,27.37,23.45,35.28
SRAE_2000507800,303.03,37.19,47.37
SRAE_2000507700,22.81,17.03,28.73
SRAE_2000507650,5.64,13.57,24.96
SRAE_2000507600,8.56,3.74,1.17
SRAE_2000507500,24.73,30.47,62.30
SRAE_2000507400,3.91,0.90,0.00
SRAE_2000507310,1.40,0.25,0.43
SRAE_2000507200,1.53,0.38,0.00
SRAE_2000507100,32.40,25.86,67.11
SRAE_2000507010,11.78,1.23,0.00
SRAE_2000507000,13.08,33.41,64.45
SRAE_2000506900,1.04,4.10,4.80
SRAE_2000506800,15.92,160.80,489.95
SRAE_2000506700,14.80,0.20,0.00
SRAE_2000506600,3.64,0.00,0.00
SRAE_2000506500,4.03,13.71,16.48
SRAE_2000506400,15.69,55.94,85.10
SRAE_2000506300,10.55,31.22,70.91
SRAE_2000506200,4.90,8.29,5.68
SRAE_2000506100,0.99,0.29,2.55
SRAE_2000506000,8.12,3.32,4.80
SRAE_2000505900,15.73,1.34,3.13
SRAE_2000505800,151.68,414.75,447.43
SRAE_2000505700,10.53,3.47,1.11
SRAE_2000505600,0.87,0.86,2.01
SRAE_2000505500,3.30,7.54,22.62
SRAE_2000505400,0.56,3.20,24.23
SRAE_2000505300,0.26,7.96,13.36
SRAE_2000505200,1.11,15.71,27.11
SRAE_2000505100,5.86,33.80,41.26
SRAE_2000505000,15.91,10.66,19.01
SRAE_2000504900,78.56,55.14,89.90
SRAE_2000504800,31.64,44.75,74.15
SRAE_2000504700,22.77,60.19,66.88
SRAE_2000504600,21.25,24.84,16.11
SRAE_2000504500,36.28,6.91,8.40
