Age,Monthly Income,Location Code,Marital Status,Brand Loyalty,Online Activity,Years subscribed,Gender,Education Level,City,Renew
51.0,6113.404752725639,Rural,Married,-0.07909668416331275,6.58949380107333,5.0,Male,High School,Manchester,No
51.0,5462.949808268707,Urban,Single,-0.15200840274549615,5.392681128370501,2.0,Male,College,London,Yes
50.0,7205.2628605999325,Suburban,Married,-0.029476972718830374,9.118896070975032,7.0,Male,College,London,No
38.0,6068.158668495868,Urban,Single,-0.17106489530838365,4.410101723390431,3.0,Female,,Manchester,Yes
39.0,3227.0297600695885,Urban,,0.27262437478847235,6.570396235998359,7.0,Female,High School,New Castle,Yes
54.0,6019.100662151549,Suburban,Single,0.04075955250033644,5.049010828259929,2.0,Female,College,New Castle,Yes
52.0,5047.020202338315,Suburban,Single,-0.9765467101206771,5.259162922277939,5.0,Female,High School,New Castle,Yes
38.0,5842.358983376617,Urban,Married,0.6516171976559189,5.711378425086055,1.0,Male,High School,Manchester,Yes
51.0,5275.357128613936,Rural,Single,0.46506806662899264,6.60219629542444,3.0,Male,Graduate School,New Castle,No
67.0,4832.856969493053,Suburban,Divorced,-1.0412671794352153,5.0062939246055755,2.0,Female,Graduate School,,Yes
65.0,2411.5348606410957,Suburban,Single,0.08699761976443757,4.91405022255886,6.0,Female,College,New Castle,Yes
50.0,4938.227335622532,Urban,Single,-0.07003662215040676,5.197386514734687,3.0,Male,College,London,Yes
45.0,6038.916417999756,Suburban,Married,0.5092990270443443,7.237290424479458,,Male,High School,Manchester,No
44.0,5982.61251885664,Urban,Divorced,-0.39792347674321393,5.162932268098116,3.0,Male,High School,London,Yes
34.0,6686.030431823559,Urban,Divorced,-0.7715625086877763,7.801641006982539,4.0,Female,High School,Manchester,Yes
53.0,3581.044902691763,,Single,-0.09498130039201402,3.520713260089213,5.0,Female,High School,New Castle,Yes
59.0,5177.222217823271,Urban,Single,-0.33666919231633236,3.1680916722383428,2.0,Female,High School,Manchester,Yes
,4247.142310535903,Urban,Married,-0.17298923076730055,3.9041311059506167,3.0,Female,High School,Manchester,Yes
