Age,Annual Income,Location Code,Marital Status,Brand Loyalty,Hours Online,Years subscribed,Gender,Education Level,City,Renew
47.0,51633.38946789507,Rural,Married,0.3870712058183526,5.075830012211721,6.0,F,High School,Osaka,No
49.0,45285.801951478454,Urban,Divorced,-0.5196079502246858,7.530121432334782,7.0,M,College,Osaka,Yes
59.0,66121.07826527797,Urban,Single,-0.3646528311890209,8.083988899118367,5.0,F,High School,Tokyo,Yes
61.0,63897.085749410646,Urban,Married,-0.13625185598690068,7.704266875133702,4.0,M,College,Kyoto,Yes
48.0,59359.02188826085,Rural,Divorced,0.16932854078964255,7.090361568782795,5.0,F,High School,Kyoto,Yes
57.0,72925.51936592296,Urban,Single,0.13115692422611724,8.068808315297344,6.0,M,High School,Tokyo,Yes
57.0,46726.86964629254,Rural,Single,0.5200161927381228,5.830670717807316,5.0,F,High School,Kyoto,Yes
51.0,54160.77959057256,Suburban,Single,0.5420521512255704,5.781796671117999,5.0,F,College,Tokyo,Yes
37.0,56375.756217436334,Suburban,Single,,6.224799504293681,7.0,M,Graduate School,Tokyo,Yes
54.0,60471.022201115804,Suburban,Single,0.16306525330578098,5.91422005675353,7.0,F,College,Kyoto,Yes
54.0,51820.91869785131,Urban,Single,-0.04440428576274763,7.35742000713607,2.0,F,High School,Kyoto,Yes
36.0,44006.424066913416,Suburban,Divorced,0.4972777975810646,6.833801762377737,7.0,F,College,,Yes
44.0,55893.709093380836,Suburban,Single,-0.9265509097623634,5.369637684760585,8.0,F,Graduate School,Kyoto,No
49.0,50294.435658882125,Urban,Divorced,0.10517245487467708,6.103703089820937,3.0,F,College,Kyoto,Yes
42.0,64448.119771630634,Rural,Married,-0.7629662116973637,5.169554063255836,2.0,M,Graduate School,Osaka,No
63.0,47458.51240798738,Suburban,Married,-0.24625912175014564,6.917993949606952,8.0,F,Graduate School,Osaka,No
48.0,38769.06352315671,Rural,Divorced,-0.8892361814720152,6.578189034500309,6.0,M,High School,Tokyo,No
67.0,57856.12095974112,Suburban,Single,-0.3152949478151946,7.697321605327097,6.0,F,High School,Kyoto,Yes
52.0,56452.08411363173,Urban,Divorced,0.13786947548778433,6.337310137505854,7.0,M,Graduate School,Kyoto,Yes
44.0,61292.1848615733,Rural,Married,-0.3885086010537463,4.639527415800815,5.0,M,College,Tokyo,No
49.0,45649.25133254974,Rural,Married,-0.22557323761024978,4.801410168727612,5.0,F,College,Osaka,No
55.0,51974.95463296336,Suburban,Single,0.6271852621273534,7.126140694638466,5.0,M,Graduate School,Kyoto,Yes
48.0,62374.913133591836,Urban,Single,0.1654782935591274,7.297961593266211,6.0,F,College,Osaka,Yes
41.0,43145.10370758226,Urban,Divorced,0.29962425571119156,7.436478167762228,6.0,F,College,Kyoto,Yes
36.0,48911.61980279948,Urban,Single,1.2258457751022367,6.185567373808722,4.0,F,College,Osaka,Yes
51.0,53062.22750433009,Rural,Married,-0.5395070186992379,6.331064405643477,6.0,M,College,Tokyo,No
54.0,43264.44035008097,Rural,Married,-0.6772497707162727,8.90759799284918,7.0,F,College,Osaka,No
64.0,67809.28430417109,Urban,Divorced,-0.16532348614637593,8.06609665950193,6.0,M,High School,Tokyo,Yes
44.0,55248.07504396632,Rural,Single,0.13481980437594093,4.282877605891434,6.0,M,College,Osaka,No
50.0,63169.38622870725,Rural,Married,-0.6842330714295599,6.412938831943248,4.0,F,Graduate School,Osaka,No
43.0,52162.5030014507,Suburban,Single,-0.010082964295990343,8.116754267735674,5.0,M,Graduate School,Osaka,Yes
54.0,65079.322513643,Rural,Married,0.14830822224462747,7.947966267213752,4.0,F,College,Tokyo,Yes
41.0,71704.00805477542,Urban,Divorced,0.70140306314856,5.547247913518964,5.0,F,Graduate School,Tokyo,Yes
49.0,56832.49398718129,Rural,Single,-0.3009492640118994,7.109244162006059,6.0,F,Graduate School,Kyoto,No
50.0,58684.93471665895,Rural,Married,0.5448908734402007,8.289533187846493,4.0,,Graduate School,Tokyo,Yes
43.0,48717.43770413629,Rural,Married,0.41204822236092803,2.0003311576134806,9.0,M,High School,Osaka,No
57.0,55603.01438424787,Suburban,Single,-0.2619173661354226,8.401180347992378,5.0,M,College,Tokyo,No
47.0,58810.46118621519,Urban,Single,-0.14235541253584735,6.818345142548562,8.0,F,Graduate School,Tokyo,Yes
51.0,62172.02369957907,Suburban,Single,-0.060466135860764464,6.580198315424195,6.0,F,Graduate School,Tokyo,Yes
41.0,49852.77014999671,Urban,Married,0.4473842341816606,6.430934911377552,7.0,F,Graduate School,Tokyo,Yes
55.0,56078.73093374621,Suburban,Married,-0.08961733530040147,6.410562091751567,5.0,M,High School,Tokyo,No
57.0,61001.84439340046,Suburban,Married,0.37756503968325433,5.907601034058259,3.0,M,Graduate School,Osaka,No
31.0,63574.77401675619,Urban,Divorced,0.6471890482214891,7.896515160230442,7.0,M,Graduate School,Kyoto,Yes
48.0,47032.16445609312,Suburban,Married,-0.3569013423079679,3.913147108826369,7.0,M,Graduate School,Osaka,No
49.0,,Rural,Divorced,0.11099208140987715,5.7223661194700455,6.0,M,Graduate School,Kyoto,Yes
41.0,57357.52898423866,Urban,Divorced,0.4563687124698798,6.475558273691953,3.0,F,College,Kyoto,Yes
46.0,50644.13755034052,Urban,Divorced,0.23238131708765872,9.135807947093648,6.0,F,Graduate School,Osaka,Yes
51.0,71355.98968070271,Urban,Divorced,0.1498082178930648,6.600575185010847,5.0,M,Graduate School,Tokyo,Yes
46.0,63799.5539530144,Urban,Divorced,0.374644542755421,6.563347941411801,4.0,F,College,Kyoto,Yes
44.0,39733.38357857089,Suburban,Divorced,1.0441402650578469,4.952876340168265,5.0,F,Graduate School,Tokyo,Yes
46.0,83462.96726169046,Suburban,Divorced,0.44164608819934165,6.689592944792871,8.0,F,High School,Kyoto,Yes
67.0,73460.82363147025,Urban,Divorced,0.15706441917834107,6.60785012004652,6.0,M,High School,Kyoto,Yes
44.0,50009.68825607325,Rural,Married,-0.42423880675274034,5.096111510332988,7.0,F,Graduate School,,No
51.0,68524.31930612768,Suburban,Married,-0.9404464517750188,6.536334454689903,3.0,F,High School,Tokyo,No
52.0,74974.34104918953,Suburban,Married,0.2577177023556061,6.028141344354766,4.0,F,College,Osaka,No
52.0,51030.69116121374,Suburban,Single,-0.2534068227225741,7.304756055773148,4.0,M,College,Tokyo,Yes
